GRB , RA , Dec , Err90 , #breaks , lc type , NH_gal , Redshift , Ave_NH_wt , Ave_dNH_Wt , Ave_Gamma_WT , Ave_dgamma_WT , Ave_obs_flux_WT , d_Ave_obs_flux_WT , Ave_unabs_flux_WT , Ave_NH_PC , Ave_dNH_PC , Ave_Gamma_PC , Ave_dgamma_PC , Ave_obs_flux_PC , d_Ave_obs_flux_PC , Ave_unabs_flux_PC , Flux_11 , Flux_24 , alpha_1 , D_alpha_1, break_1 , D_break_1 , NH_1 (wt) , D_NH_1 (wt) , NH_1 (pc) , D_NH_1 (pc) , Gamma_1 (wt) , D_Gamma_1 (wt) , Gamma_1 (pc) , D_Gamma_1 (pc) , Obs Flux_1 (wt) , D_Obs Flux_1 (wt) , Unabs Flux_1 (wt) , Obs Flux_1 (pc) , D_Obs Flux_1 (pc) , Unabs Flux_1 (pc) , alpha_2 , D_alpha_2, break_2 , D_break_2 , NH_2 (wt) , D_NH_2 (wt) , NH_2 (pc) , D_NH_2 (pc) , Gamma_2 (wt) , D_Gamma_2 (wt) , Gamma_2 (pc) , D_Gamma_2 (pc) , Obs Flux_2 (wt) , D_Obs Flux_2 (wt) , Unabs Flux_2 (wt) , Obs Flux_2 (pc) , D_Obs Flux_2 (pc) , Unabs Flux_2 (pc) , alpha_3 , D_alpha_3, break_3 , D_break_3 , NH_3 (wt) , D_NH_3 (wt) , NH_3 (pc) , D_NH_3 (pc) , Gamma_3 (wt) , D_Gamma_3 (wt) , Gamma_3 (pc) , D_Gamma_3 (pc) , Obs Flux_3 (wt) , D_Obs Flux_3 (wt) , Unabs Flux_3 (wt) , Obs Flux_3 (pc) , D_Obs Flux_3 (pc) , Unabs Flux_3 (pc) , alpha_4 , D_alpha_4, break_4 , D_break_4 , NH_4 (wt) , D_NH_4 (wt) , NH_4 (pc) , D_NH_4 (pc) , Gamma_4 (wt) , D_Gamma_4 (wt) , Gamma_4 (pc) , D_Gamma_4 (pc) , Obs Flux_4 (wt) , D_Obs Flux_4 (wt) , Unabs Flux_4 (wt) , Obs Flux_4 (pc) , D_Obs Flux_4 (pc) , Unabs Flux_4 (pc) , alpha_5 , D_alpha_5, break_5 , D_break_5 , NH_5 (wt) , D_NH_5 (wt) , NH_5 (pc) , D_NH_5 (pc) , Gamma_5 (wt) , D_Gamma_5 (wt) , Gamma_5 (pc) , D_Gamma_5 (pc) , Obs Flux_5 (wt) , D_Obs Flux_5 (wt) , Unabs Flux_5 (wt) , Obs Flux_5 (pc) , D_Obs Flux_5 (pc) , Unabs Flux_5 (pc) , alpha_6 , D_alpha_6, NH_6 (wt) , D_NH_6 (wt) , NH_6 (pc) , D_NH_6 (pc) , Gamma_6 (wt) , D_Gamma_6 (wt) , Gamma_6 (pc) , D_Gamma_6 (pc) , Obs Flux_6 (wt) , D_Obs Flux_6 (wt) , Unabs Flux_6 (wt) , Obs Flux_6 (pc) , D_Obs Flux_6 (pc) , Unabs Flux_6 (pc) 
200925B,246.78596,78.39065,1.5,2, TBD ,4.59E-02, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,3.99E-02," +3.93E-2, -3.55E-2",2.1," +0.16, -0.16",8.44E-12," +7.90E-13, -7.10E-13",1.04E-11,1.02E-12,3.41E-13,4.5," +1.2, -0.92",125," +19.1, -15.1", N/A ," , ",1.18E-07," +0.16, -1.18E-7", N/A ," , ",1.9," +1.2, -0.64", N/A ," , ", N/A ,5.72E-11," +6.94E-11, -2.90E-11",6.31E-11,-6.71E-02," +0.11, -0.12",4111," +2045, -1597", N/A ," , ",6.08E-02," +4.59E-2, -4.12E-2", N/A ," , ",2.1," +0.19, -0.17", N/A ," , ", N/A ,2.25E-11," +2.34E-12, -2.08E-12",2.91E-11,1.4," +0.25, -0.21", N/A ," , ", N/A ," , ",5.93E-06," +7.93E-2, -5.93E-6", N/A ," , ",2," +0.36, -0.20", N/A ," , ", N/A ,3.40E-13," +4.92E-14, -6.17E-14",3.81E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
200922A,296.95369,-55.20442,1.6,1, TBD ,4.71E-02, N/A ,0.11," +4.52E-2, -4.10E-2",2.2," +0.17, -0.16",2.63E-10," +2.25E-11, -2.07E-11",3.80E-10,0.21," +8.37E-2, -7.41E-2",2.2," +0.24, -0.22",2.80E-12," +3.48E-13, -3.05E-13",4.43E-12,4.18E-13,1.72E-13,5.6," +2.4, -2.2",79.1," +13.1, -4.4", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A ,1.1," +2.27E-2, -2.16E-2", N/A ," , ",0.11," +4.53E-2, -4.10E-2",0.32," +0.11, -9.52E-2",2.2," +0.17, -0.16",2.4," +0.26, -0.24",2.63E-10," +2.25E-11, -2.07E-11",3.80E-10,8.19E-13," +9.95E-14, -8.73E-14",1.63E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
200917A,235.72455,-4.70089,1.6,0, TBD ,0.15, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,0.95," +0.23, -0.20",2.3," +0.25, -0.24",3.66E-12," +4.17E-13, -3.68E-13",9.36E-12,5.41E-13,3.45E-13,0.58," +5.15E-2, -4.72E-2", N/A ," , ", N/A ," , ",0.95," +0.23, -0.20", N/A ," , ",2.3," +0.25, -0.24", N/A ," , ", N/A ,3.66E-12," , ",9.36E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
200907B,89.02903,6.90622,1.9,0, TBD ,0.42, N/A ,0.81," +6.5, -0.81",2.5," +4.7, -1.7",1.59E-10," +2.48E-10, -8.76E-11",5.21E-10,0.14," +0.29, -0.14",1.8," +0.42, -0.36",1.47E-12," +3.68E-13, -2.85E-13",2.16E-12,7.19E-16,1.61E-16,1.9," +0.14, -0.14", N/A ," , ",0.81," +6.5, -0.81",0.14," +0.29, -0.14",2.5," +4.7, -1.7",1.8," +0.42, -0.36",1.59E-10," , ",5.21E-10,1.47E-12," , ",2.16E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
200906A,272.27552,67.88005,1.6,3, TBD ,5.25E-02, N/A ,0.75," +7.26E-2, -6.87E-2",2.1," +9.44E-2, -9.08E-2",2.05E-09," +9.01E-11, -8.64E-11",4.01E-09,0.62," +0.16, -0.14",2.3," +0.25, -0.24",3.02E-12," +3.78E-13, -3.31E-13",6.28E-12,9.08E-13,2.56E-13,2.9," +0.43, -0.68",78.5," +2.6, -4.0",1.1," +0.47, -0.35", N/A ," , ",1.8," +0.35, -0.31", N/A ," , ",1.24E-08," +1.89E-9, -1.65E-9",2.10E-08, N/A ," , ", N/A ,5.6," +0.20, -0.18",234," +11.3, -10.6",0.75," +7.74E-2, -7.28E-2",0.25," +0.37, -0.25",2.3," +0.11, -0.10",2," +0.91, -0.79",1.59E-09," +7.66E-11, -7.34E-11",3.49E-09,5.76E-11," +3.92E-11, -2.10E-11",8.29E-11,0.59," +5.31E-2, -5.41E-2",4.10E+04," +1.22E4, -1.41E4", N/A ," , ",0.73," +0.20, -0.17", N/A ," , ",2.3," +0.28, -0.27", N/A ," , ", N/A ,3.35E-12," +4.57E-13, -3.95E-13",7.35E-12,1.7," +0.63, -0.40", N/A ," , ", N/A ," , ",0.47," +0.46, -0.31", N/A ," , ",2.7," +1.1, -0.84", N/A ," , ", N/A ,1.42E-13," +6.94E-14, -4.44E-14",4.21E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
200901B,217.8572653,-38.71116606,6.3,2, TBD ,0.12, N/A ,6.35E-02," +2.88E-2, -2.72E-2",1.1," +5.06E-2, -4.99E-2",7.79E-10," +2.64E-11, -2.56E-11",8.43E-10,4.52E-05," +0.41, -4.52E-5",2.1," +0.77, -0.58",2.13E-13," +1.05E-13, -9.23E-14",2.82E-13,1.17E-14,6.54E-16,-0.37," +0.51, -0.60",240," +71.3, -22.8",6.62E-02," +0.10, -6.62E-2", N/A ," , ",1.1," +0.16, -0.16", N/A ," , ",1.04E-09," +1.18E-10, -1.10E-10",1.12E-09, N/A ," , ", N/A ,0.55," +7.28E-2, -7.11E-2",2460," +4679, -1573",6.62E-02," +3.05E-2, -2.88E-2", N/A ," , ",1.1," +5.38E-2, -5.31E-2", N/A ," , ",7.48E-10," +2.69E-11, -2.60E-11",8.11E-10, N/A ," , ", N/A ,3.7," +4.3, -1.2", N/A ," , ", N/A ," , ",1.1," +4.6, -0.66", N/A ," , ",4.8," +19.4, -3.0", N/A ," , ", N/A ,1.01E-14," +1.46E-14, -6.03E-15",6.21E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
200901A,61.78317,-59.89084,2,0, TBD ,1.53E-02, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,0.22," +9.82E-2, -8.42E-2",2.3," +0.32, -0.30",3.83E-12," +6.34E-13, -5.27E-13",6.41E-12,4.79E-13,2.17E-13,1," +8.57E-2, -7.48E-2", N/A ," , ", N/A ," , ",0.22," +9.82E-2, -8.42E-2", N/A ," , ",2.3," +0.32, -0.30", N/A ," , ", N/A ,3.83E-12," , ",6.41E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
200829A,251.20581,72.32928,1.4,4, TBD ,4.71E-02, N/A ,6.63E-02," +4.71E-3, -4.63E-3",1.7," +1.43E-2, -1.43E-2",2.50E-09," +2.28E-11, -2.26E-11",2.87E-09,6.93E-02," +2.03E-2, -1.94E-2",1.9," +6.99E-2, -6.80E-2",1.90E-11," +8.09E-13, -7.70E-13",2.29E-11,1.01E-11,2.66E-12,0.68," +6.40E-2, -6.71E-2",289," +2.6, -20.1",6.96E-02," +1.45E-2, -1.38E-2", N/A ," , ",1.6," +4.23E-2, -4.18E-2", N/A ," , ",8.73E-09," +2.41E-10, -2.34E-10",9.96E-09, N/A ," , ", N/A ,8," +0.00E0, -5.6",298," +19.2, -2.4",7.22E-02," +4.92E-2, -4.18E-2", N/A ," , ",1.5," +0.13, -0.12", N/A ," , ",6.10E-09," +5.41E-10, -5.10E-10",6.85E-09, N/A ," , ", N/A ,0.88," +1.66E-2, -1.82E-2",1177," +64.3, -55.8",6.82E-02," +5.85E-3, -5.73E-3", N/A ," , ",1.7," +1.75E-2, -1.74E-2", N/A ," , ",2.78E-09," +3.11E-11, -3.08E-11",3.19E-09, N/A ," , ", N/A ,1.3," +2.54E-2, -3.77E-2",1.36E+04," +2849, -3082",6.30E-02," +1.05E-2, -1.01E-2",6.58E-02," +3.32E-2, -3.09E-2",1.8," +3.41E-2, -3.38E-2",1.8," +0.11, -0.11",1.16E-09," +2.46E-11, -2.41E-11",1.37E-09,9.14E-11," +6.43E-12, -5.94E-12",1.09E-10,1.7," +4.99E-2, -4.33E-2", N/A ," , ", N/A ," , ",8.04E-02," +2.69E-2, -2.53E-2", N/A ," , ",1.9," +8.93E-2, -8.70E-2", N/A ," , ", N/A ,2.63E-12," +1.42E-13, -1.34E-13",3.24E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
200826A,6.78519,34.02683,3.1,0, TBD ,6.02E-02, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,0.15," +0.34, -0.15",1.6," +0.72, -0.60",8.77E-13," +4.74E-13, -2.96E-13",1.06E-12,1.04E-12,5.16E-13,0.9," +0.31, -0.28", N/A ," , ", N/A ," , ",0.15," +0.34, -0.15", N/A ," , ",1.6," +0.72, -0.60", N/A ," , ", N/A ,8.77E-13," , ",1.06E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
200819A,21.42385,63.06104,1.9,0, TBD ,0.98, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,1.2," +1.2, -0.93",1.6," +0.57, -0.51",1.93E-12," +4.31E-13, -3.47E-13",3.20E-12,1.97E-13,9.28E-14,0.96," +7.57E-2, -6.96E-2", N/A ," , ", N/A ," , ",1.2," +1.2, -0.93", N/A ," , ",1.6," +0.57, -0.51", N/A ," , ", N/A ,1.93E-12," , ",3.20E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
200809B,15.82934,-73.84554,5.8,0, TBD ,0.32, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,0.11," +0.73, -0.11",2.3," +1.5, -0.79",3.13E-13," +2.05E-13, -1.36E-13",5.78E-13,1.86E-13,5.97E-14,1.5," +0.60, -0.54", N/A ," , ", N/A ," , ",0.11," +0.73, -0.11", N/A ," , ",2.3," +1.5, -0.79", N/A ," , ", N/A ,3.13E-13," , ",5.78E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
200806A,52.93218,37.07879,1.4,1, TBD ,0.26, N/A ,0.15," +4.52E-2, -4.28E-2",1.6," +6.87E-2, -6.75E-2",7.23E-10," +2.90E-11, -2.79E-11",9.24E-10,0.22," +9.07E-2, -8.29E-2",1.8," +0.14, -0.14",1.88E-11," +1.51E-12, -1.39E-12",2.72E-11,1.97E-12,8.44E-13,1.8," +0.36, -0.22",119," +18.6, -17.0",0.34," +0.15, -0.13", N/A ," , ",1.5," +0.17, -0.16", N/A ," , ",1.92E-09," +1.79E-10, -1.68E-10",2.50E-09, N/A ," , ", N/A ,1.1," +1.66E-2, -1.47E-2", N/A ," , ",0.13," +4.82E-2, -4.54E-2",0.27," +9.32E-2, -8.50E-2",1.6," +7.85E-2, -7.69E-2",1.9," +0.14, -0.14",6.09E-10," +2.80E-11, -2.69E-11",7.91E-10,3.09E-12," +2.42E-13, -2.23E-13",4.73E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
200803A,311.09315,-62.94498,3,0, TBD ,5.15E-02, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,5.99E-02," +0.23, -5.99E-2",2," +0.86, -0.58",8.39E-13," +4.45E-13, -2.87E-13",1.04E-12,7.53E-13,2.83E-13,1.3," +0.95, -0.59", N/A ," , ", N/A ," , ",5.99E-02," +0.23, -5.99E-2", N/A ," , ",2," +0.86, -0.58", N/A ," , ", N/A ,8.39E-13," , ",1.04E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
200729A,184.37621,45.59477,1.4,1, TBD ,1.07E-02, N/A ,0.87," +0.13, -0.12",1.8," +0.14, -0.13",4.71E-10," +3.18E-11, -3.02E-11",7.54E-10,0.92," +0.33, -0.27",1.4," +0.26, -0.24",8.23E-12," +1.07E-12, -9.50E-13",1.07E-11,2.17E-13,6.64E-14,-0.42," +1.1, -1.1",211," +142, -39.1",1.3," +0.32, -0.27", N/A ," , ",1.9," +0.26, -0.24", N/A ," , ",6.46E-10," +7.13E-11, -6.65E-11",1.22E-09, N/A ," , ", N/A ,1.5," +6.87E-2, -5.85E-2", N/A ," , ",0.74," +0.15, -0.14",1," +0.35, -0.29",1.9," +0.18, -0.17",1.4," +0.27, -0.25",3.64E-10," +3.39E-11, -3.18E-11",5.99E-10,3.95E-12," +5.22E-13, -4.62E-13",5.37E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
200716C,196.01021,29.64408,1.4,4, TBD ,1.08E-02, N/A ,5.22E-02," +9.97E-3, -9.37E-3",1.5," +3.20E-2, -3.15E-2",1.24E-09," +2.68E-11, -2.62E-11",1.33E-09,4.13E-08," +2.26E-2, -4.13E-8",1.5," +0.10, -5.70E-2",7.68E-12," +4.06E-13, -5.43E-13",7.81E-12,9.23E-13,2.60E-13,2," +0.29, -0.26",118," +2.7, -5.1",0.1," +3.02E-2, -2.80E-2", N/A ," , ",1.3," +7.36E-2, -7.03E-2", N/A ," , ",6.07E-09," +3.03E-10, -2.90E-10",6.56E-09, N/A ," , ", N/A ,0.1," +0.33, -0.43",148," +4.3, -5.9",8.06E-02," +2.86E-2, -2.65E-2", N/A ," , ",1.4," +7.75E-2, -7.47E-2", N/A ," , ",4.85E-09," +2.60E-10, -2.49E-10",5.22E-09, N/A ," , ", N/A ,2.5," +8.53E-2, -9.21E-2",341," +16.1, -13.1",6.69E-02," +1.46E-2, -1.39E-2", N/A ," , ",1.7," +5.07E-2, -4.99E-2", N/A ," , ",1.41E-09," +4.53E-11, -4.39E-11",1.58E-09, N/A ," , ", N/A ,1," +8.84E-2, -9.92E-2",3548," +3593, -1029",1.61E-02," +2.00E-2, -1.61E-2",7.22E-09," +3.45E-2, -7.22E-9",1.6," +8.14E-2, -7.74E-2",1.5," +0.16, -9.68E-2",3.35E-10," +1.82E-11, -1.75E-11",3.50E-10,1.93E-10," +1.68E-11, -2.15E-11",1.95E-10,1.6," +0.19, -7.45E-2", N/A ," , ", N/A ," , ",7.22E-04," +3.32E-2, -7.22E-4", N/A ," , ",1.5," +0.13, -8.16E-2", N/A ," , ", N/A ,2.81E-12," +2.19E-13, -2.47E-13",2.86E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
200715A,248.53771,-51.83666,1.9,0, TBD ,0.76, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,0.65," +0.64, -0.51",2.4," +0.55, -0.50",1.98E-12," +4.65E-13, -3.63E-13",5.60E-12,5.41E-13,2.11E-13,1.2," +0.27, -0.24", N/A ," , ", N/A ," , ",0.65," +0.64, -0.51", N/A ," , ",2.4," +0.55, -0.50", N/A ," , ", N/A ,1.98E-12," , ",5.60E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
200714E,196.82301,-51.63936,2.6,0, TBD ,0.31, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,7.68E-05," +0.20, -7.68E-5",1.6," +0.57, -0.31",6.79E-13," +2.08E-13, -2.19E-13",8.22E-13,6.63E-13,3.93E-13,0.67," +1.4, -0.43", N/A ," , ", N/A ," , ",7.68E-05," +0.20, -7.68E-5", N/A ," , ",1.6," +0.57, -0.31", N/A ," , ", N/A ,6.79E-13," , ",8.22E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
200713A,76.94976,-32.8148,1.7,2, TBD ,1.99E-02, N/A ,0.31," +5.34E-2, -4.92E-2",3.7," +0.25, -0.24",2.29E-10," +1.38E-11, -1.30E-11",1.18E-09,0.15," +5.55E-2, -5.03E-2",2.1," +0.18, -0.17",5.69E-12," +5.78E-13, -5.11E-13",7.98E-12,1.83E-12,7.71E-13,4.6," +0.18, -0.18",441," +85.6, -55.8",0.31," +5.34E-2, -4.93E-2",0.17," +0.14, -0.11",3.7," +0.26, -0.24",3.4," +0.77, -0.64",2.29E-10," +1.37E-11, -1.30E-11",1.18E-09,2.06E-11," +4.59E-12, -3.67E-12",6.01E-11,7.64E-02," +0.20, -0.90",1.19E+04," +3029, -4737", N/A ," , ",0.2," +0.11, -9.07E-2", N/A ," , ",2.1," +0.31, -0.28", N/A ," , ", N/A ,7.89E-12," +1.38E-12, -1.13E-12",1.15E-11,1.1," +9.06E-2, -8.49E-2", N/A ," , ", N/A ," , ",0.24," +8.78E-2, -7.82E-2", N/A ," , ",2.1," +0.22, -0.21", N/A ," , ", N/A ,1.36E-12," +1.63E-13, -1.43E-13",2.04E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
